run_id,config_idx,config_name,best_fitness,execution_time
0,0,Config 1,11.253410660387205,7.780303478240967
1,0,Config 1,11.287638118975892,9.338349103927612
2,0,Config 1,9.529203160771873,11.842734098434448
4,0,Config 1,10.36741406390034,13.430188655853271
5,0,Config 1,8.907659827216554,12.128791093826294
9,0,Config 1,10.627688966813318,9.152357578277588
8,0,Config 1,7.335383806956987,14.355628252029419
3,0,Config 1,2.8852410701235733,24.612897872924805
6,0,Config 1,3.0977796784639366,21.19610023498535
0,1,Config 2,9.865846442274059,13.66243028640747
7,0,Config 1,4.158140650529102,21.036513805389404
1,1,Config 2,5.851463525969713,23.658979892730713
7,1,Config 2,9.747705928761757,10.780876636505127
6,1,Config 2,9.456997036529312,15.6395423412323
4,1,Config 2,7.323724023886818,21.675145626068115
5,1,Config 2,8.17164652194015,19.27841591835022
8,1,Config 2,10.22899784915924,16.885885000228882
3,1,Config 2,6.234836858991457,28.765449047088623
2,1,Config 2,3.535799472049735,38.642289876937866
0,2,Config 3,10.158145558807018,22.904273509979248
1,2,Config 3,10.508846803933702,18.91690444946289
5,2,Config 3,9.055535464119083,15.441609621047974
4,2,Config 3,8.59783132380608,26.76629948616028
8,2,Config 3,9.116505244041134,16.360448598861694
9,2,Config 3,9.673160322336445,21.669732093811035
9,1,Config 2,2.884381587115705,57.301706314086914
2,2,Config 3,0.6795042429665372,248.74026036262512
6,2,Config 3,1.0890328835081604,244.64473748207092
3,2,Config 3,0.5499597624940797,254.60818767547607
7,2,Config 3,0.3089213781405107,252.66849160194397
