Config,mean,std,median,min,max
Config 1,20183888.5944,18240430.0697,14154615.7325,923491.94,67685984.8367
Config 2,6897723.3687,10628101.5425,3039798.0555,89953.4142,54535049.8854
Config 3,1537948.757,2042580.3247,656825.5713,79771.2573,7668420.6611
