Config,Best_Fitness_mean,Best_Fitness_std,Best_Fitness_median,Best_Fitness_min,Best_Fitness_max,Best_Fitness_<lambda_0>,Best_Fitness_<lambda_1>,Execution_Time_mean,Execution_Time_std,Execution_Time_min,Execution_Time_max
Config 1,248737060.26928,150556193.295002,274493673.768636,69591795.690678,467596172.249804,0.011301,-1.515069,24.007849,9.625887,10.964,46.261898
Config 2,209511785.993317,99277425.109167,186574843.084605,76228735.33801,398884186.215077,0.675515,-0.483984,40.146803,6.768878,31.190195,50.338541
Config 3,150572231.041941,63903505.024528,144477985.350864,57700741.859595,246691547.176692,0.304768,-1.062535,48.001612,6.065665,40.295884,59.570807
