run_id,config_idx,config_name,best_fitness,execution_time
0,0,Config 1,75957245.06310982,12.822108030319214
1,0,Config 1,532136663.73187137,14.207726955413818
4,0,Config 1,406073586.6867248,7.551401376724243
6,0,Config 1,679849793.0437416,8.761479139328003
3,0,Config 1,89884154.6810637,18.06744146347046
2,0,Config 1,456892535.259128,18.268896341323853
8,0,Config 1,86901405.4350029,9.801377773284912
5,0,Config 1,215077833.3701422,19.971450328826904
9,0,Config 1,328238233.12299854,9.546592712402344
1,1,Config 2,271772566.2775205,9.355010509490967
0,1,Config 2,245211494.13729104,9.67921757698059
7,0,Config 1,159429084.70997787,22.5680148601532
2,1,Config 2,629867016.5000062,12.142438173294067
3,1,Config 2,511425233.6649996,12.291395902633667
4,1,Config 2,136341816.36553815,13.474189758300781
5,1,Config 2,355058398.7594765,13.70854139328003
6,1,Config 2,159267655.60514367,14.069035768508911
7,1,Config 2,290400929.7420501,16.14414668083191
8,1,Config 2,128956062.59785657,14.68996286392212
9,1,Config 2,282748709.8268417,15.458874464035034
0,2,Config 3,87512984.30953248,14.560389041900635
1,2,Config 3,135434080.94214386,13.790422439575195
2,2,Config 3,88820564.7271847,14.694193840026855
3,2,Config 3,277716187.7469649,16.04639172554016
4,2,Config 3,57687986.8745902,15.366174221038818
5,2,Config 3,136001456.0013216,15.621554374694824
6,2,Config 3,87257630.61413397,14.870879411697388
7,2,Config 3,152704815.72505197,15.91502594947815
8,2,Config 3,207453577.51761866,15.582828760147095
9,2,Config 3,173952564.03347996,20.298855304718018
