Config,mean,std,median,min,max,count
Config 1,303044053.510376,211205980.723056,271658033.24657,75957245.06311,679849793.043742,10
Config 2,301104988.347672,162126848.550928,277260638.052181,128956062.597857,629867016.500006,10
Config 3,140454184.849202,66496400.914173,135717768.471733,57687986.87459,277716187.746965,10
