Config,Best_Fitness_mean,Best_Fitness_std,Best_Fitness_median,Best_Fitness_min,Best_Fitness_max,Best_Fitness_<lambda_0>,Best_Fitness_<lambda_1>,Execution_Time_mean,Execution_Time_std,Execution_Time_min,Execution_Time_max
Config 1,2.993147,9.005233,0.0,0.0,28.596621,2.656821,5.079474,10.671336,4.983295,5.737081,17.159838
Config 2,0.0,0.0,0.0,0.0,0.0,0.320704,-1.647881,16.536224,1.45213,14.621533,19.159841
Config 3,0.0,0.0,0.0,0.0,0.0,2.581451,4.832646,26.529377,3.687528,21.75077,31.427596
