Config,mean,std,median,min,max,count
Config 1,2.993147,9.005233,0.0,0.0,28.596621,10
Config 2,0.0,0.0,0.0,0.0,0.0,10
Config 3,0.0,0.0,0.0,0.0,0.0,10
