run_id,config_idx,config_name,best_fitness,execution_time
6,0,Config 1,1.581668001250772e-17,6.057816505432129
5,0,Config 1,5.655452278077926e-16,5.901342868804932
0,0,Config 1,1.4289916103007172e-15,5.737081050872803
4,0,Config 1,4.669861134869788e-16,7.267805576324463
9,0,Config 1,2.1855933404443524e-17,7.589846134185791
8,0,Config 1,2.063155320755619e-09,9.306206941604614
1,0,Config 1,1.838544276657224e-12,13.571506023406982
3,0,Config 1,28.596620936711098,17.113213062286377
7,0,Config 1,1.2917770921389355,17.00870180130005
2,0,Config 1,0.04306779121890061,17.159838438034058
1,1,Config 2,2.4355424896631775e-20,14.621532678604126
0,1,Config 2,1.5433944371043774e-19,15.3595712184906
2,1,Config 2,5.152107787314983e-20,15.33880615234375
3,1,Config 2,1.680713373322417e-21,15.212946891784668
4,1,Config 2,1.556489595365764e-21,17.890767812728882
5,1,Config 2,2.2606135810870746e-20,19.15984058380127
6,1,Config 2,1.2777517909299018e-19,16.64732837677002
9,1,Config 2,1.4071632852835307e-19,16.147759437561035
8,1,Config 2,1.171219109328446e-19,17.35977339744568
7,1,Config 2,5.986829480789778e-22,17.62390971183777
0,2,Config 3,9.511957027372625e-22,22.319767236709595
2,2,Config 3,1.6265739301075573e-22,21.75076961517334
3,2,Config 3,1.0249146736522284e-22,22.38929557800293
1,2,Config 3,8.202361821594387e-23,26.844035148620605
4,2,Config 3,9.111645218090052e-23,26.351727962493896
6,2,Config 3,5.367772076770937e-23,25.719308137893677
5,2,Config 3,1.1703746047201708e-21,26.50498867034912
7,2,Config 3,9.878306169161362e-21,30.82841205596924
9,2,Config 3,8.552134860100418e-23,31.157873153686523
8,2,Config 3,5.511329103166977e-23,31.427595853805542
