Conjunto,MSE,MAE,R2,Bias,RMSE,SE
Validação,0.33010025567833123,0.46670427874379594,0.6727743489894821,0.08031408058585522,0.5745435193945984,0.5731960315322439
Teste,0.6168894809078294,0.6173878363139111,0.5352172265782495,0.154026196916769,0.7854231222136444,0.7755771102783279
