Config,mean,std,median,min,max
Config 1,74466.9862,68114.2805,48418.1208,497.7819,258374.7268
Config 2,33411.0379,36474.1533,19413.9035,1533.7054,141874.2546
Config 3,15422.824,25767.5758,3676.2298,320.7023,118234.9566
