run_id,config_idx,config_name,best_fitness,execution_time
0,0,Config 1,3.552713678800501e-15,19.14490580558777
1,0,Config 1,3.552713678800501e-15,18.950440883636475
2,0,Config 1,3.552713678800501e-15,19.0041024684906
3,0,Config 1,3.552713678800501e-15,17.906731367111206
4,0,Config 1,3.552713678800501e-15,18.243707180023193
5,0,Config 1,3.552713678800501e-15,19.5829074382782
6,0,Config 1,3.552713678800501e-15,19.57856774330139
7,0,Config 1,3.552713678800501e-15,19.204368352890015
8,0,Config 1,3.552713678800501e-15,16.99693489074707
9,0,Config 1,3.552713678800501e-15,15.325498819351196
0,1,Config 2,3.552713678800501e-15,16.44737410545349
2,1,Config 2,3.552713678800501e-15,13.658666849136353
1,1,Config 2,3.552713678800501e-15,14.261367082595825
3,1,Config 2,3.552713678800501e-15,13.074734926223755
4,1,Config 2,3.552713678800501e-15,15.249747037887573
5,1,Config 2,3.552713678800501e-15,15.270629644393921
6,1,Config 2,3.552713678800501e-15,16.127118825912476
8,1,Config 2,3.552713678800501e-15,18.794262886047363
7,1,Config 2,3.552713678800501e-15,19.505641222000122
9,1,Config 2,3.552713678800501e-15,21.23146939277649
1,2,Config 3,1.4210854715202004e-14,19.9304621219635
0,2,Config 3,1.4210854715202004e-14,20.158625602722168
2,2,Config 3,3.552713678800501e-15,20.024548053741455
3,2,Config 3,3.552713678800501e-15,14.061933755874634
4,2,Config 3,3.552713678800501e-15,15.168541669845581
5,2,Config 3,3.552713678800501e-15,13.867311000823975
6,2,Config 3,1.4210854715202004e-14,16.05525779724121
7,2,Config 3,3.552713678800501e-15,17.12968635559082
8,2,Config 3,3.552713678800501e-15,17.194234609603882
9,2,Config 3,3.552713678800501e-15,11.353307247161865
