iteration,dataset,R2,MSE,RMSE,MAE,BIAS,SE,num_features,best_fitness
14,validation,0.7548803632313323,0.2472729583369859,0.4972654807414103,0.40448003777677266,0.23175842143065006,0.4432761382508079,14,0.9475306723821766
14,test,0.8771076059689135,0.16311066049895404,0.4038696082883113,0.31253643524759817,-0.03194918279266675,0.4054292375985927,14,0.9475306723821766
15,validation,0.7311159111398532,0.27124617586204036,0.5208129950971273,0.4126018115836364,0.166340925632699,0.4972599229711139,14,0.9493256083826472
15,test,0.8039892235748096,0.2601580631551388,0.5100569214853757,0.4036948713582617,0.2836902232788059,0.4268589876129647,14,0.9493256083826472
16,validation,0.7492878876672555,0.2529145625568129,0.5029061170405594,0.39863260734338846,0.19345960837612272,0.46771028565692435,11,0.9492093411722851
16,test,0.8410521911392659,0.21096571754943316,0.4593100451214116,0.3591792128702302,0.20053314482886075,0.41612153944613617,11,0.9492093411722851
17,validation,0.7469521359653477,0.255270833318655,0.5052433406969903,0.36456166475889096,0.010077625637992249,0.5089552788931343,17,0.9381891869300424
17,test,0.7997569592985515,0.2657753955128432,0.5155340876342157,0.39844071854073504,0.16997333435732853,0.49012331303575446,17,0.9381891869300424
18,validation,0.7066966899896412,0.29587991444658546,0.5439484483354884,0.3941787972211647,-0.08598580393274423,0.5411629711668096,17,0.9522475220454605
18,test,0.8284812162244344,0.22765072102454859,0.4771275731128401,0.36913050246851953,0.16008416910954432,0.45262477304573606,17,0.9522475220454605
19,validation,0.7385967974720185,0.2636995716049404,0.5135168659400978,0.39662697119495066,0.18201660218785304,0.48380058477839094,13,0.9489640834538537
19,test,0.8345961779719657,0.21953455193670923,0.4685451439687634,0.37759541312227035,0.20148751306368967,0.42597837757002505,13,0.9489640834538537
20,validation,0.714621221372665,0.2878857678153881,0.5365498744901429,0.41283601211056925,0.21145793184996878,0.4968457755423004,15,0.944836894998073
20,test,0.4187901341187522,0.7714189788541189,0.878304604823474,0.7843874744676073,0.7730781327346371,0.4197816489255177,15,0.944836894998073
21,validation,0.7724611709447708,0.22953770713245517,0.47910093626756267,0.35649684725175745,0.05061716792386003,0.48001524333018364,15,0.9503690440682884
21,test,0.7306782903848987,0.3574610315664812,0.5978804492258307,0.49543821836915275,0.4343781658852828,0.41370735593082647,15,0.9503690440682884
22,validation,0.7753250827623097,0.22664863648566966,0.47607629271543195,0.36730502864443665,0.10022710312795104,0.4689190019713081,16,0.9476534585319787
22,test,0.8717998313541808,0.17015547909830223,0.4124990655726413,0.32826290301593636,0.01743624123684959,0.41502256640610413,16,0.9476534585319787
23,validation,0.6349628905067279,0.36824387942598963,0.6068310138959524,0.5122070807981626,0.40955095289836957,0.4511651088487252,14,0.9550644878143205
23,test,0.8078038118683765,0.25509509712700623,0.5050693983276023,0.4104664274314665,0.3041325770725302,0.4060647633369496,14,0.9550644878143205
24,validation,0.7163757590114557,0.28611581695312066,0.5348979500363791,0.40738601681419867,0.13389258889823202,0.521777783256635,10,0.9526208048690334
24,test,0.7112711273597891,0.3832194619754109,0.6190472211192058,0.5077867217723343,0.44299318584666075,0.43544227067376523,10,0.9526208048690334
25,validation,0.7328258997407794,0.26952116539104093,0.5191542789875095,0.4070622209227172,0.13409611208340458,0.505322274510931,16,0.9472096261875115
25,test,0.8659227265811202,0.1779559491673691,0.42184825372089557,0.33714946160218434,-0.011838038865429433,0.4246413286897586,16,0.9472096261875115
26,validation,0.7363984218995592,0.2659172594185479,0.5156716585372401,0.40358574713843653,0.17372460811962123,0.48919197967854217,10,0.9514385793885989
26,test,0.8454303393002645,0.20515475875142877,0.4529401271155259,0.366721443946694,0.156201545074662,0.42813746964467064,10,0.9514385793885989
27,validation,0.7370748712736821,0.26523486758691167,0.5150095800923626,0.40392543315312723,0.2402121980802967,0.4589960853662712,14,0.9472788876613243
27,test,0.8153182381033863,0.24512146909146587,0.4950974339374684,0.3887428049654049,0.2550106453510375,0.4273494277147389,14,0.9472788876613243
28,validation,0.6941582808801277,0.3085284706953647,0.5554533920099549,0.4629247153161143,0.3084453334483505,0.46542789772851706,17,0.9494544742547063
28,test,0.8446714538824636,0.2061620001085237,0.45405065808621364,0.3516198581858701,-0.14533745965364658,0.43318033929472943,17,0.9494544742547063
29,validation,0.5888781804590282,0.4147334334161151,0.6439980073075654,0.4743787408970703,0.14955835360448758,0.6311185844362808,17,0.9498725306885987
29,test,0.4187045523833791,0.7715325684175204,0.8783692665488247,0.7501112950257738,0.7035221852111244,0.5296080857643632,17,0.9498725306885987
30,validation,0.66844324038645,0.33446941210850845,0.5783333053771921,0.4634231126944349,0.31836352367192067,0.4864628561383159,11,0.951769976446299
30,test,0.6842287014253786,0.41911190259740705,0.6473885252284034,0.5506381855216766,0.4891044200290702,0.4271093695271796,11,0.951769976446299
