Feature,Importance
2,44.810888386791156
0,40.36847490005467
58,32.806471435867266
20,28.202348057779496
12,27.896983011146585
80,26.401118028004298
332,24.790150796585017
78,22.389189126896774
68,22.248733637545662
16,21.04219706147028
127,20.58077237919691
81,20.574040832694397
22,20.331625113776013
17,20.24231548809194
91,20.049334027112383
152,19.94475914346545
264,19.742941255696284
98,19.72137039191378
149,19.644247349842693
7,19.477278494252026
285,19.252409640622105
72,18.98725623594171
49,18.499369910993835
347,18.140179324933715
47,18.140104598248808
99,18.12204232580984
247,18.00886236272113
67,18.003907040025005
328,17.547225770005305
43,17.512827393526514
55,17.38712469619785
333,17.36370883987566
101,17.302398116977788
30,17.219252522126464
153,17.139182330696975
24,16.96513374112003
92,16.859435031587626
13,16.690279303670962
45,16.51378076915535
121,16.47970865540479
312,16.20265099605547
26,16.089831211202
39,15.835633280880089
202,15.787111964865472
83,15.769579594643503
8,15.752725478921546
60,15.481061166204146
254,15.418187645420895
337,15.050305698370943
142,15.045514470297128
120,14.865930141098053
288,14.802250065438741
184,14.623926502891392
76,14.60246092752483
265,14.453101514676495
105,14.381431743569394
362,14.208070160358236
28,14.150427820462644
248,14.129305921619324
188,13.923991129637077
18,13.85551170722359
203,13.720144958785397
50,13.59271683241993
297,13.5280642056286
150,13.462932130864832
168,13.074542668897632
85,13.044630826837784
5,13.000921626434
100,12.747513743308101
3,12.649220769370359
230,12.591447430193195
19,12.535056713611148
305,12.402748024237749
71,12.11160117918857
342,12.041712883028678
148,11.914299029255647
145,11.849130409951572
283,11.836748551885073
259,11.81113667213614
205,11.798603470010267
361,11.777376016019034
69,11.776820417958204
291,11.61451183547268
348,11.545718229284859
331,11.504539428244863
15,11.489469300439202
204,11.459176111155822
40,11.415827478279255
132,11.306098635686643
143,11.212756860647415
141,11.201253750957111
322,11.193993501157681
131,11.187366850534627
93,11.181239563538819
10,11.130124385374597
346,11.096570395273991
266,11.0124197801681
231,11.001691007358303
324,10.923725001816242
178,10.908704765932443
57,10.907448820317258
54,10.804628453386599
343,10.700750801233148
94,10.675474738989458
185,10.668690954868325
179,10.619878671809047
299,10.413418530375516
284,10.254715407361303
282,10.201823456353726
211,10.13518686376989
96,10.123686214938711
52,10.071577080666623
29,10.053878834056555
11,10.047318399662565
351,9.98878974503997
269,9.975878956694126
330,9.972507657828512
275,9.955583150234904
303,9.837964206461521
336,9.821592237037294
38,9.711004527899139
272,9.630817088192149
187,9.568694241951558
327,9.560482575001469
90,9.320156559891034
37,9.297253758065718
334,9.282692387382845
319,9.264842010440253
277,9.237619165404467
6,9.187889403496866
252,9.186988724956581
316,9.185413587688604
139,9.101912217116546
307,9.100409537294105
258,9.090162200104354
65,9.032824201313808
122,9.008433533808384
155,8.983860286307257
56,8.950786394579698
287,8.86815394988891
25,8.824445576105065
370,8.711554748390961
133,8.686901125378915
189,8.591646834388168
329,8.479538749383233
210,8.460255692714933
371,8.252444722680718
262,8.245487928165602
106,8.196870653505535
89,8.181713021441293
128,8.170578226704077
169,8.080063153195944
104,8.012487633672187
260,7.992421899788314
88,7.972384436401327
308,7.89932630511024
1,7.896091843785271
244,7.892032732645518
177,7.794763357221451
367,7.760917022376086
42,7.754951705679979
196,7.752965352464918
14,7.745070796633236
212,7.742170163963317
193,7.684859384764694
233,7.614561025969035
325,7.601211902494317
279,7.547348080186051
353,7.505800223490814
274,7.441166281009003
298,7.430489118359733
199,7.413813427402744
125,7.40850002315438
110,7.3572967477101905
206,7.299454011670509
238,7.2658962343088795
195,7.210740157743476
313,7.192670145155873
213,7.162171529173709
