Feature,Importance
2,112.97028624560389
127,81.83147922798314
100,77.65829725393309
91,72.47642198812076
204,67.21839630916396
258,62.94320889722863
67,61.406132506196336
254,59.53500331036841
26,58.88738094479847
332,58.47424485238433
12,56.510057914079894
184,55.04053051171457
24,54.028134935307094
210,54.012771309393955
83,53.126273363722404
149,50.447622535039564
161,49.98313709701542
202,49.08967407919714
110,48.57647582468532
17,48.30350237005441
81,48.172180127080125
179,46.54483779014468
162,45.78795989853191
27,44.944402614006705
247,44.90088072069012
157,43.992149726083596
208,42.67282624042833
49,42.47510696266835
188,40.94073453610331
348,40.78615726226359
82,40.44493446927871
261,39.54398288538202
16,38.703356298729155
58,38.03691311207167
145,36.433378961454395
198,35.758734119399435
72,35.65490193381383
10,35.09677567553459
132,35.0705658228548
229,33.12420546487958
195,31.327263179134654
53,31.140180030377365
193,30.37040535048758
99,29.61707414362845
354,29.1822492241202
206,28.00517855346711
48,27.870111854978468
217,26.78081110136966
361,24.275197334332063
236,24.263480615461244
113,23.877187060963475
87,23.48805120234219
314,22.85156578862634
176,22.205763619275146
263,21.935046609126786
76,21.58575107885484
131,21.526374990897367
115,21.171762580509817
189,20.881189002318568
73,20.47399355964346
142,20.2016808428805
220,20.010989044179684
65,20.010158840391796
285,19.807255396231938
221,19.789834751798075
77,19.563835721558497
336,19.331653583557255
141,19.12215519136881
32,18.575221207687946
214,18.29441957955128
147,18.244227115143886
150,18.085027163770683
46,17.798500739835212
194,17.769334388327923
231,17.604451172771142
134,17.602956098657184
96,17.33123786388
123,17.156876776477148
325,17.047124923412092
237,16.646255318482126
173,16.423655314607856
242,16.40004903280895
192,16.38786173701591
330,16.161794847262833
104,16.140698313246165
138,15.54814770110804
29,15.305255536226994
69,15.152502654051457
182,15.101723627238265
218,14.96039208501331
301,14.680615446233226
155,14.476698492960022
112,14.433540549044318
337,14.325152216627513
364,14.058065224128281
302,13.851778004092445
186,13.716491839659534
187,13.247608050356137
266,13.180015747886666
172,13.105713604530441
323,12.91957056138677
137,12.833992586348097
37,12.301862608069937
175,12.003429995983689
177,11.909962587688103
283,11.874188636913736
3,11.860054311327234
271,11.483453714881374
9,11.268615570948363
352,11.226983060244912
226,11.106338845154433
160,11.022928269621756
40,10.862187984828866
295,10.436487435711655
235,10.204500193252187
209,9.737346848968063
84,9.712670144588618
111,9.600081710617726
197,9.573911277280068
365,9.459755327616472
256,9.362353877117119
11,9.32325312256069
148,9.213258802071964
174,9.077219730235544
79,8.87334458446176
39,8.838959882743183
36,8.68480270395075
139,8.662348096506168
289,8.42775257803759
98,8.415687373498365
306,8.412684015163107
342,8.301070180670296
212,8.220416700827705
1,7.622367452276789
103,7.553288676321135
270,7.504230192078108
144,7.452798951729408
338,7.412277741912813
21,7.116203673028419
135,6.661647250295201
357,6.575267053530278
305,6.511568795047422
344,6.505561423081481
89,6.458810159037075
250,5.904753065274819
61,5.774444684720985
60,5.657404684770821
329,5.649591870394943
19,5.335856796155353
74,5.264319181092844
128,4.857973721920373
331,4.5755165852301225
33,4.389099347456913
70,4.318367205841618
170,3.9978528768885084
125,3.4140288724938443
356,3.2827762342810445
38,3.187912175407125
273,3.1007469723487704
136,2.581978443319863
216,2.0766399216982983
265,1.8403516412206002
75,1.7146615120368693
281,1.590180061328354
251,1.338561736760047
317,1.3112700680328722
66,1.0929342271579463
334,0.7130827076030712
264,0.6245227908632955
249,0.46350264256214224
190,0.34835776907038696
296,0.18940944172250873
